target_url,target_date,target_site,target_attributions,source_0,source_0_date,source_0_site,source_0_overlap,source_0_attributions,source_1,source_1_date,source_1_site,source_1_overlap,source_1_attributions,source_2,source_2_date,source_2_site,source_2_overlap,source_2_attributions,source_3,source_3_date,source_3_site,source_3_overlap,source_3_attributions,source_4,source_4_date,source_4_site,source_4_overlap,source_4_attributions,source_5,source_5_date,source_5_site,source_5_overlap,source_5_attributions,source_6,source_6_date,source_6_site,source_6_overlap,source_6_attributions,classification
https://newsghana.com.gh/to-enhance-cooperation-on-vaccines-jointly-build-immune-barrier,2022-03-01,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0301/c90000-9964244.html,2022-03-01,en.people.cn,0.7727272727272727,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/they-have-embraced-a-new-life-through-hard-work-retired-luxembourg-police-officer-in-guangxi,2022-04-15,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0415/c90000-10084501.html,2022-04-15,en.people.cn,0.75,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/chinas-economy-gets-off-to-a-steady-start-in-q1,2022-04-21,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0421/c90000-10086820.html,2022-04-21,en.people.cn,0.7619047619047619,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/industrial-heritage-sites-become-new-landmarks-in-chinese-cities,2022-03-07,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0305/c90000-9966325.html,2022-03-05,en.people.cn,0.8148148148148148,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/forest-law-builds-legal-protection-for-ecology,2022-06-30,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0630/c90000-10116862.html,2022-06-30,en.people.cn,0.7692307692307693,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/land-sea-trade-corridor-sees-robust-development,2022-07-15,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0719/c90000-10124922.html,2022-07-19,en.people.cn,0.6956521739130435,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://www.ghanaiantimes.com.gh/south-sudan-launches-consultation-to-pave-way-for-truth-reconciliation,2022-04-07,ghanaiantimes.com.gh,,http://en.people.cn/n3/2022/0406/c90000-10080316.html,2022-04-06,en.people.cn,0.7272727272727273,Xinhua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unattributed
https://www.ghanaiantimes.com.gh/ethiopia-govt-rebels-agree-to-ceasefire,2022-11-04,ghanaiantimes.com.gh,,https://english.news.cn/africa/20221103/5e597262271a41519b07abd07e060962/c.html,2022-11-03,english.news.cn,0.9,Xinhua,http://english.news.cn/africa/20221103/5e597262271a41519b07abd07e060962/c.html,2022-11-03,english.news.cn,0.9,Xinhua,https://english.news.cn/africa//20221103/5e597262271a41519b07abd07e060962/c.html,2022-11-03,english.news.cn,0.9,Xinhua,,,,,,,,,,,,,,,,,,,,,unattributed
https://www.ghanaiantimes.com.gh/paul-pogba-blackmail-family-feud-witch-doctor-what-is-the-real-story-behind-it-all,2022-09-09,ghanaiantimes.com.gh,,https://www.chinadaily.com.cn/a/202208/31/WS630ebe13a310fd2b29e752a9.html,2022-08-31,chinadaily.com.cn,0.5263157894736842,China Daily,http://www.chinadaily.com.cn/a/202208/31/WS630ebe13a310fd2b29e752a9.html,2022-08-31,chinadaily.com.cn,0.5263157894736842,China Daily,,,,,,,,,,,,,,,,,,,,,,,,,,unattributed
https://newsghana.com.gh/undeserved-national-tragedy-over-1-mln-covid-19-deaths-in-the-u-s,2022-05-17,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0517/c90000-10097695.html,2022-05-17,en.people.cn,0.7878787878787878,People's Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
